SalePrice,MachineID,ModelID,auctioneerID,YearMade,MachineHoursCurrentMeter,UsageBandCoded,SaleDateDay,SaleDateMonth,SaleDateYear,fiBaseModel,fiSecondaryDescCoded,fiModelSeriesCoded,fiProductClassDesc,state,Enclosure,EnclosureCoded,Enclosure w AC,ForksCoded,Ride_ControlCoded,Hydraulics,HydralicCoded,CouplerCoded
60000,169387,75,1,2005,1842,1,27,8,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,California,OROPS,0,0,0,0,3 Valve,1,0
80000,1765768,75,1,2004,1722,0,29,4,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,California,OROPS,0,0,0,1,2 Valve,0,0
62500,508588,75,1,2003,7858,1,23,6,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,California,EROPS w AC,1,1,0,0,2 Valve,0,0
63000,374504,75,1,2003,6328,2,16,11,2007,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Arizona,EROPS w AC,1,1,0,1,2 Valve,0,0
72500,176700,75,1,2003,3005,1,28,8,2007,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,California,OROPS,0,0,0,1,2 Valve,0,0
65000,306882,75,1,2003,6597,1,23,5,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Nevada,EROPS w AC,1,1,0,1,2 Valve,0,0
80000,166047,75,1,2003,1640,0,28,8,2007,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,California,OROPS,0,0,0,1,2 Valve,0,0
56000,481536,75,1,2003,9256,2,24,9,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Texas,EROPS w AC,1,1,1,0,2 Valve,0,1
62000,775321,75,1,2003,5754,2,19,2,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,OROPS,0,0,0,0,2 Valve,0,2
70000,305108,75,1,2003,4997,1,23,6,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,California,EROPS w AC,1,1,0,1,2 Valve,0,0
80000,175577,75,1,2004,1752,1,28,8,2007,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,California,OROPS,0,0,0,1,2 Valve,0,0
80000,655073,75,1,2004,3143,1,16,12,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Washington,EROPS w AC,1,1,0,1,2 Valve,0,0
70000,310724,75,1,2004,6482,2,23,5,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Nevada,EROPS w AC,1,1,0,1,2 Valve,0,0
46000,986726,75,1,2004,4404,1,11,8,2009,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Utah,EROPS w AC,1,1,0,1,2 Valve,0,0
58000,290363,75,1,2004,6298,1,19,11,2009,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Virginia,EROPS w AC,1,1,0,1,3 Valve,1,0
62000,313602,75,1,2004,5393,1,6,2,2009,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Nevada,EROPS w AC,1,1,0,1,2 Valve,0,2
65000,362323,75,1,2005,7303,2,21,8,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Arizona,EROPS w AC,1,1,0,1,2 Valve,0,2
90000,305296,75,1,2005,3272,1,13,3,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Nevada,EROPS w AC,1,1,0,1,2 Valve,0,0
70000,775035,75,1,2005,1998,0,25,5,2010,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,EROPS w AC,1,1,1,0,2 Valve,0,1
60000,182656,75,1,2005,1418,0,27,8,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,California,OROPS,0,0,0,0,3 Valve,1,0
60000,492771,75,1,2005,5849,1,25,2,2010,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Texas,EROPS w AC,1,1,1,0,2 Valve,0,1
81000,175646,75,1,2005,2153,1,28,8,2007,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,California,OROPS,0,0,0,1,2 Valve,0,0
80000,311633,75,1,2006,1670,0,3,4,2009,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Nevada,EROPS w AC,1,1,1,1,2 Valve,0,1
67500,511532,75,1,2006,1860,0,2,3,2010,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,California,OROPS,0,0,1,1,2 Valve,0,1
82000,206316,75,1,2006,3168,1,16,3,2010,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Colorado,EROPS w AC,1,1,1,1,3 Valve,1,1
82500,786459,75,1,2007,1925,1,25,5,2010,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,OROPS,0,0,0,0,2 Valve,0,2
95000,610980,75,1,2007,1916,2,27,3,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Texas,OROPS,0,0,1,0,2 Valve,0,1
85000,384525,75,1,2007,1365,1,20,11,2009,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Arizona,EROPS w AC,1,1,0,1,2 Valve,0,2
94000,1783709,75,1,2006,4899,1,15,2,2010,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,EROPS w AC,1,1,1,0,2 Valve,0,0
72500,313437,75,1,2004,5424,1,13,3,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Nevada,EROPS w AC,1,1,0,1,2 Valve,0,2
87500,459375,75,1,2004,4831,1,5,3,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Texas,EROPS w AC,1,1,1,0,2 Valve,0,2
60000,308277,75,1,2004,4914,1,6,2,2009,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Nevada,EROPS w AC,1,1,0,1,2 Valve,0,2
60000,313762,75,1,2004,4535,1,6,2,2009,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Nevada,EROPS w AC,1,1,0,1,2 Valve,0,2
90000,181247,75,1,2005,2034,1,29,4,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,California,EROPS w AC,1,1,0,0,2 Valve,0,0
67500,173849,75,1,2005,1640,0,29,4,2008,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,California,OROPS,0,0,0,0,2 Valve,0,0
83000,797727,75,1,2005,2988,1,15,2,2010,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,OROPS,0,0,1,0,2 Valve,0,1
60000,467005,75,1,2005,5849,1,25,2,2010,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Texas,EROPS w AC,1,1,0,0,2 Valve,0,0
67500,309043,75,1,2005,4018,1,3,3,2009,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,California,EROPS w AC,1,1,0,1,3 Valve,1,1
80000,209457,75,1,2005,5730,2,4,6,2009,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Colorado,EROPS w AC,1,1,0,1,2 Valve,0,0
62000,778153,75,1,2005,2944,1,25,5,2010,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,OROPS,0,0,1,0,2 Valve,0,1
81000,174942,75,1,2005,2530,1,28,8,2007,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,California,OROPS,0,0,0,1,2 Valve,0,0
37500,174942,75,1,2005,3072,1,28,7,2009,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,California,OROPS,0,0,0,1,2 Valve,0,0
60000,611576,75,1,2005,2857,1,25,3,2009,938,1,0,Wheel Loader - 150.0 to 175.0 Horsepower,Texas,EROPS w AC,1,1,0,0,2 Valve,0,0
